year,term,class,includes_dept_goals,includes_course_goals
2025,fall,101.01,1,1
2025,fall,101.02,1,1
2025,fall,101.90,1,1
2025,fall,101.91,1,1
2025,fall,102.90,1,1
2025,fall,131.01,1,1
2025,fall,131.02,1,1
2025,fall,131.90,1,1
2025,fall,131.91,1,1
2025,fall,132.01,1,1
2025,fall,132.90,1,1
2025,fall,121.01,1,1
2025,fall,121.02,1,1
2025,fall,139_syllabus_feliu-ribas.pdf,1,1
2025,fall,204Updated9_5KimDJ.pdf,1,1
2025,fall,215 syllabus F25 KimYS.pdf,1,1
2025,fall,261_F25_Syllabus_EspositoR.pdf,1,1
2025,fall,326-Ramirez-F25+Calendario.pdf,1,1
2025,fall,575.475.Interpreting.Fall.2025.hybrid.pdf,0,1
2025,fall,579-Ramirez-F25+Calendario.pdf,1,1
2025,fall,Caribbean Lit_Syl 25.docx,0,1
2025,fall,S205 Syllabus MontenegroM.docx,1,1
2025,fall,SPA 325 Otono 2025 Syllabus.doc,0,1
2025,fall,Syllabus 101. Online - FALL2025 HicksT.pdf,1,1
2025,fall,Syllabus Portuguese 101 Fall 25 DaSilvaD.pdf,0,1
2025,fall,Syllabus SPA 160 Otono 2025.docx,1,1
