year,term,class,includes_dept_goals,includes_course_goals
2026,spring,101-01,1,1
2026,spring,101-90,1,1
2026,spring,101-91,1,1
2026,spring,102-90,1,1
2026,spring,131-01,1,1
2026,spring,131-90,1,1
2026,spring,131-91,1,1
2026,spring,132-01,1,1
2026,spring,132-90,1,1
2026,spring,203 S26 Syllabus GarciaGascoMartinM.pdf,0,1
2026,spring,205_S26_Syllabus_MontenegroM.docx,1,1
2026,spring,326-EspositoR-S26+calendario_v2.docx,1,1
2026,spring,336 S26_KimY.docx,1,1
2026,spring,419_577_SP26_Syllabus_DickinsonK.pdf,1,1
2026,spring,PORT 361 - S26 Syllabus DaSilva.pdf,0,1
2026,spring,S26 215 Syllabus MontjoyFortiP.pdf,0,1
2026,spring,S26 368 Syllabus WiscowH.docx,1,1
2026,spring,S26_261_syllabus_CorregidorE.pdf,1,1
2026,spring,S26-201_MontenegroM.docx,1,1
2026,spring,SPA 325 Syllabus S26 BishopS.doc,1,1
2026,spring,Span 204 S26 HydakL.pdf,1,1
2026,spring,syllabus_401_S26_JaumeLosaA.pdf,0,1
2026,spring,Syllabus_S26_PORT201_203_BlauEdelsteinD.pdf,0,1
